delta_t,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,lin_ax,lin_ay,lin_az
0.02,-0.06,-0.03,1.0,-0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.01
0.02,-0.06,-0.04,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,-0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.05,-0.04,1.0,-0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,-0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.05,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.01,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.01
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.05,-0.04,1.01,-0.0,-0.0,-0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.01
0.02,-0.06,-0.04,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,-0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.04,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,-0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.01
0.02,-0.06,-0.04,1.0,-0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,-0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.05,-0.04,1.0,-0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,-0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.04,1.0,-0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.01
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,-0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.04,1.0,-0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.01
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.01
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,-0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.06,-0.04,1.0,-0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,-0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,-0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,-0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.06,-0.04,1.0,-0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,-0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,-0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,-0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.05,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,-0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,-0.0
0.02,-0.05,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.01
0.02,-0.06,-0.03,1.0,0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,-0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.05,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,-0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,-0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,-0.0
0.02,-0.05,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.05,-0.04,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,-0.0,-0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.04,1.0,0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.01
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.05,-0.04,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,-0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.01
0.02,-0.06,-0.03,1.0,0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.05,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.01
0.02,-0.05,-0.04,1.0,0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,-0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.06,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,-0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,-0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,-0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,-0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.06,-0.03,1.0,-0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.04,1.0,-0.0,-0.0,-0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,-0.0
0.02,-0.06,-0.04,1.0,-0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,-0.0
0.02,-0.06,-0.04,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,-0.0,0.0
0.02,-0.05,-0.04,1.0,-0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.06,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,-0.0,0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.0
0.02,-0.05,-0.04,1.0,-0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.0
0.02,-0.05,-0.03,1.0,0.0,0.0,-0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.01
0.02,-0.05,-0.03,1.0,0.0,-0.0,0.0,1.0,-0.02,0.03,0.03,0.0,0.0,0.01
0.02,-0.05,-0.03,1.0,0.0,0.0,0.0,1.0,-0.02,0.03,0.03,0.0,-0.0,0.01
